theta_target_s,scenario,H_malicious_hops,amplification,margin_m,gamma_required_m_s,ok__kinematic_v15,ok__empirical_receiver,ok__empirical_ekf
0.25,1,2,gronwall_L1.01_T1,2.0,1.457,0,1,1
0.25,1,2,gronwall_L1.01_T1,5.0,3.642,0,1,1
0.25,1,2,gronwall_L1.01_T1,10.0,7.284,0,1,1
0.25,1,2,gronwall_L1.01_T1,20.0,14.569,0,1,1
0.25,1,2,unamplified_A1,2.0,4.0,0,1,1
0.25,1,2,unamplified_A1,5.0,10.0,0,1,1
0.25,1,2,unamplified_A1,10.0,20.0,1,1,1
0.25,1,2,unamplified_A1,20.0,40.0,1,1,1
0.25,2,2,gronwall_L1.01_T1,2.0,1.457,0,1,1
0.25,2,2,gronwall_L1.01_T1,5.0,3.642,0,1,1
0.25,2,2,gronwall_L1.01_T1,10.0,7.284,0,1,1
0.25,2,2,gronwall_L1.01_T1,20.0,14.569,0,1,1
0.25,2,2,unamplified_A1,2.0,4.0,0,1,1
0.25,2,2,unamplified_A1,5.0,10.0,0,1,1
0.25,2,2,unamplified_A1,10.0,20.0,1,1,1
0.25,2,2,unamplified_A1,20.0,40.0,1,1,1
0.25,3,2,gronwall_L1.01_T1,2.0,1.457,0,1,1
0.25,3,2,gronwall_L1.01_T1,5.0,3.642,0,1,1
0.25,3,2,gronwall_L1.01_T1,10.0,7.284,0,1,1
0.25,3,2,gronwall_L1.01_T1,20.0,14.569,0,1,1
0.25,3,2,unamplified_A1,2.0,4.0,0,1,1
0.25,3,2,unamplified_A1,5.0,10.0,0,1,1
0.25,3,2,unamplified_A1,10.0,20.0,1,1,1
0.25,3,2,unamplified_A1,20.0,40.0,1,1,1
0.5,1,2,gronwall_L1.01_T1,2.0,0.728,0,0,0
0.5,1,2,gronwall_L1.01_T1,5.0,1.821,0,1,1
0.5,1,2,gronwall_L1.01_T1,10.0,3.642,0,1,1
0.5,1,2,gronwall_L1.01_T1,20.0,7.284,0,1,1
0.5,1,2,unamplified_A1,2.0,2.0,0,1,1
0.5,1,2,unamplified_A1,5.0,5.0,0,1,1
0.5,1,2,unamplified_A1,10.0,10.0,0,1,1
0.5,1,2,unamplified_A1,20.0,20.0,1,1,1
0.5,2,2,gronwall_L1.01_T1,2.0,0.728,0,0,0
0.5,2,2,gronwall_L1.01_T1,5.0,1.821,0,1,1
0.5,2,2,gronwall_L1.01_T1,10.0,3.642,0,1,1
0.5,2,2,gronwall_L1.01_T1,20.0,7.284,0,1,1
0.5,2,2,unamplified_A1,2.0,2.0,0,1,1
0.5,2,2,unamplified_A1,5.0,5.0,0,1,1
0.5,2,2,unamplified_A1,10.0,10.0,0,1,1
0.5,2,2,unamplified_A1,20.0,20.0,1,1,1
0.5,3,2,gronwall_L1.01_T1,2.0,0.728,0,0,0
0.5,3,2,gronwall_L1.01_T1,5.0,1.821,0,1,1
0.5,3,2,gronwall_L1.01_T1,10.0,3.642,0,1,1
0.5,3,2,gronwall_L1.01_T1,20.0,7.284,0,1,1
0.5,3,2,unamplified_A1,2.0,2.0,0,1,1
0.5,3,2,unamplified_A1,5.0,5.0,0,1,1
0.5,3,2,unamplified_A1,10.0,10.0,0,1,1
0.5,3,2,unamplified_A1,20.0,20.0,1,1,1
1.0,1,2,gronwall_L1.01_T1,2.0,0.364,0,0,0
1.0,1,2,gronwall_L1.01_T1,5.0,0.911,0,0,0
1.0,1,2,gronwall_L1.01_T1,10.0,1.821,0,1,1
1.0,1,2,gronwall_L1.01_T1,20.0,3.642,0,1,1
1.0,1,2,unamplified_A1,2.0,1.0,0,0,0
1.0,1,2,unamplified_A1,5.0,2.5,0,1,1
1.0,1,2,unamplified_A1,10.0,5.0,0,1,1
1.0,1,2,unamplified_A1,20.0,10.0,0,1,1
1.0,2,2,gronwall_L1.01_T1,2.0,0.364,0,0,0
1.0,2,2,gronwall_L1.01_T1,5.0,0.911,0,0,0
1.0,2,2,gronwall_L1.01_T1,10.0,1.821,0,1,1
1.0,2,2,gronwall_L1.01_T1,20.0,3.642,0,1,1
1.0,2,2,unamplified_A1,2.0,1.0,0,0,0
1.0,2,2,unamplified_A1,5.0,2.5,0,1,1
1.0,2,2,unamplified_A1,10.0,5.0,0,1,1
1.0,2,2,unamplified_A1,20.0,10.0,0,1,1
1.0,3,2,gronwall_L1.01_T1,2.0,0.364,0,0,0
1.0,3,2,gronwall_L1.01_T1,5.0,0.911,0,0,0
1.0,3,2,gronwall_L1.01_T1,10.0,1.821,0,1,1
1.0,3,2,gronwall_L1.01_T1,20.0,3.642,0,1,1
1.0,3,2,unamplified_A1,2.0,1.0,0,0,0
1.0,3,2,unamplified_A1,5.0,2.5,0,1,1
1.0,3,2,unamplified_A1,10.0,5.0,0,1,1
1.0,3,2,unamplified_A1,20.0,10.0,0,1,1
